"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
683,"2021-02-01 00:08:57.2940","2021-02-01 00:20:21.2680",3483,"Montgomery St",40.71942,-74.05099,3203,"Hamilton Park",40.727595966,-74.044247311,40517,"Subscriber",1958,1
2850,"2021-02-01 00:21:12.4910","2021-02-01 01:08:42.9560",3203,"Hamilton Park",40.727595966,-74.044247311,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,40517,"Subscriber",1958,1
545,"2021-02-01 00:53:08.7500","2021-02-01 01:02:14.3890",3220,"5 Corners Library",40.734961020009514,-74.0595030784607,3212,"Christ Hospital",40.734785818,-74.050443636,44907,"Customer",1996,1
473,"2021-02-01 00:59:10.1110","2021-02-01 01:07:03.8480",3220,"5 Corners Library",40.734961020009514,-74.0595030784607,3210,"Pershing Field",40.742677141,-74.051788633,29727,"Subscriber",1987,2
748,"2021-02-01 01:01:29.4990","2021-02-01 01:13:57.8940",3210,"Pershing Field",40.742677141,-74.051788633,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,45550,"Subscriber",1962,1
373,"2021-02-01 01:01:43.9180","2021-02-01 01:07:57.5030",3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,3267,"Morris Canal",40.7124188237569,-74.03852552175522,48753,"Subscriber",1977,1
510,"2021-02-01 01:03:42.4030","2021-02-01 01:12:12.6890",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,41992,"Subscriber",1988,1
333,"2021-02-01 01:13:31.8350","2021-02-01 01:19:05.5830",3202,"Newport PATH",40.7272235,-74.0337589,3639,"Harborside",40.7192517,-74.034234,43766,"Subscriber",1976,2
2476,"2021-02-01 01:16:05.4700","2021-02-01 01:57:22.0110",3187,"Warren St",40.7211236,-74.03805095,3483,"Montgomery St",40.71942,-74.05099,44852,"Subscriber",1958,1
147,"2021-02-01 02:05:05.2090","2021-02-01 02:07:32.8660",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3187,"Warren St",40.7211236,-74.03805095,46538,"Subscriber",1972,1
660,"2021-02-01 02:06:23.5880","2021-02-01 02:17:23.8420",3211,"Newark Ave",40.72152515,-74.046304543,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,44398,"Subscriber",1987,2
384,"2021-02-01 02:16:37.8220","2021-02-01 02:23:02.1240",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3268,"Lafayette Park",40.71346382669195,-74.06285852193832,41400,"Subscriber",1989,1
356,"2021-02-01 04:24:50.8810","2021-02-01 04:30:47.3030",3639,"Harborside",40.7192517,-74.034234,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,43766,"Subscriber",1994,1
588,"2021-02-01 05:42:51.9070","2021-02-01 05:52:40.3990",3185,"City Hall",40.7177325,-74.043845,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,42596,"Subscriber",1986,2
454,"2021-02-01 11:29:25.6070","2021-02-01 11:37:00.0610",3679,"Bergen Ave",40.722103786686034,-74.07145500183105,3195,"Sip Ave",40.73089709786179,-74.06391263008118,30360,"Subscriber",1963,1
1893,"2021-02-03 17:27:44.7380","2021-02-03 17:59:18.5850",3211,"Newark Ave",40.72152515,-74.046304543,3267,"Morris Canal",40.7124188237569,-74.03852552175522,47254,"Subscriber",1961,2
874,"2021-02-03 17:42:55.7520","2021-02-03 17:57:30.0980",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3199,"Newport Pkwy",40.7287448,-74.0321082,48753,"Subscriber",1991,1
266,"2021-02-03 18:26:47.2630","2021-02-03 18:31:13.7170",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,32526,"Subscriber",1987,1
919,"2021-02-03 18:28:48.6680","2021-02-03 18:44:08.2680",3277,"Communipaw & Berry Lane",40.71435836870427,-74.06661093235016,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,33961,"Subscriber",1976,1
1648,"2021-02-03 19:07:55.7780","2021-02-03 19:35:24.5160",3638,"Washington St",40.7242941,-74.0354826,3202,"Newport PATH",40.7272235,-74.0337589,45683,"Subscriber",1991,1
1086982,"2021-02-03 19:28:31.7650","2021-02-16 09:24:54.0590",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,45550,"Subscriber",1986,2
950,"2021-02-03 19:59:54.5390","2021-02-03 20:15:45.0840",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,28364,"Subscriber",1992,2
1978,"2021-02-03 20:01:03.0680","2021-02-03 20:34:01.7930",3209,"Brunswick St",40.7241765,-74.0506564,3209,"Brunswick St",40.7241765,-74.0506564,45261,"Subscriber",1982,1
324,"2021-02-03 20:01:14.9590","2021-02-03 20:06:39.7420",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,32526,"Subscriber",1987,1
1925,"2021-02-03 20:12:38.9910","2021-02-03 20:44:44.6380",3187,"Warren St",40.7211236,-74.03805095,3203,"Hamilton Park",40.727595966,-74.044247311,38906,"Customer",1970,0
1494,"2021-02-03 20:32:12.1810","2021-02-03 20:57:06.9930",3185,"City Hall",40.7177325,-74.043845,3185,"City Hall",40.7177325,-74.043845,31496,"Subscriber",1982,1
5056,"2021-02-03 20:39:02.2920","2021-02-03 22:03:19.1390",3202,"Newport PATH",40.7272235,-74.0337589,3185,"City Hall",40.7177325,-74.043845,44671,"Customer",1970,0
595,"2021-02-03 20:44:17.2860","2021-02-03 20:54:13.0340",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,27705,"Subscriber",1989,1
2122,"2021-02-03 20:47:32.0660","2021-02-03 21:22:54.8890",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,44452,"Customer",1992,1
1982,"2021-02-03 21:50:29.8980","2021-02-03 22:23:32.4500",3203,"Hamilton Park",40.727595966,-74.044247311,3203,"Hamilton Park",40.727595966,-74.044247311,38906,"Subscriber",1989,1
2373,"2021-02-03 21:54:00.6910","2021-02-03 22:33:33.8710",3213,"Van Vorst Park",40.71848892,-74.047726625,3213,"Van Vorst Park",40.71848892,-74.047726625,44785,"Subscriber",1970,1
862,"2021-02-03 22:51:49.2800","2021-02-03 23:06:11.3970",3638,"Washington St",40.7242941,-74.0354826,3681,"Grand St",40.71517767732029,-74.03768330812454,44683,"Subscriber",1996,1
2836,"2021-02-03 23:01:58.4610","2021-02-03 23:49:14.8210",3213,"Van Vorst Park",40.71848892,-74.047726625,3187,"Warren St",40.7211236,-74.03805095,44785,"Subscriber",1958,1
888,"2021-02-03 23:14:12.9680","2021-02-03 23:29:01.1160",3212,"Christ Hospital",40.734785818,-74.050443636,3202,"Newport PATH",40.7272235,-74.0337589,42525,"Subscriber",1993,1
1350,"2021-02-03 23:28:34.7800","2021-02-03 23:51:05.4360",3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,3199,"Newport Pkwy",40.7287448,-74.0321082,45354,"Customer",1976,1
892,"2021-02-03 23:44:26.0230","2021-02-03 23:59:18.0570",3199,"Newport Pkwy",40.7287448,-74.0321082,3211,"Newark Ave",40.72152515,-74.046304543,28426,"Subscriber",1975,1
929,"2021-02-03 23:53:15.5970","2021-02-04 00:08:45.4690",3225,"Baldwin at Montgomery",40.7236589,-74.0641943,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,31060,"Subscriber",1986,1
