"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
266,"2021-01-01 00:03:35.5100","2021-01-01 00:08:01.7770",3273,"Manila & 1st",40.721650724879986,-74.04288411140442,3209,"Brunswick St",40.7241765,-74.0506564,42494,"Subscriber",1988,1
1543,"2021-01-01 00:23:32.9250","2021-01-01 00:49:16.0830",3681,"Grand St",40.71517767732029,-74.03768330812454,3213,"Van Vorst Park",40.71848892,-74.047726625,45343,"Customer",1996,2
1461,"2021-01-01 00:23:50.7940","2021-01-01 00:48:12.5660",3681,"Grand St",40.71517767732029,-74.03768330812454,3213,"Van Vorst Park",40.71848892,-74.047726625,31794,"Customer",1995,1
793,"2021-01-01 00:31:09.0770","2021-01-01 00:44:22.9430",3185,"City Hall",40.7177325,-74.043845,3199,"Newport Pkwy",40.7287448,-74.0321082,42316,"Customer",1969,0
596,"2021-01-01 00:35:52.1900","2021-01-01 00:45:48.7740",3639,"Harborside",40.7192517,-74.034234,3209,"Brunswick St",40.7241765,-74.0506564,32575,"Customer",1969,0
144,"2021-01-01 00:39:55.5950","2021-01-01 00:42:19.7750",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3211,"Newark Ave",40.72152515,-74.046304543,48913,"Subscriber",1990,1
610,"2021-01-01 00:43:49.4060","2021-01-01 00:53:59.5240",3198,"Heights Elevator",40.748715945380226,-74.04044330120087,3206,"Hilltop",40.7311689,-74.0575736,33652,"Customer",1969,0
265,"2021-01-01 01:12:20.8060","2021-01-01 01:16:46.3990",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3214,"Essex Light Rail",40.7127742,-74.0364857,41620,"Subscriber",1958,1
353,"2021-01-01 01:14:02.8890","2021-01-01 01:19:56.3990",3185,"City Hall",40.7177325,-74.043845,3192,"Liberty Light Rail",40.7112423,-74.0557013,40709,"Subscriber",1974,1
269,"2021-01-01 01:17:06.6420","2021-01-01 01:21:35.7940",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3225,"Baldwin at Montgomery",40.7236589,-74.0641943,41992,"Customer",1969,0
401,"2021-01-01 01:32:40.7310","2021-01-01 01:39:22.5420",3638,"Washington St",40.7242941,-74.0354826,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,42358,"Subscriber",1990,2
352,"2021-01-01 01:43:31.0810","2021-01-01 01:49:23.6490",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3639,"Harborside",40.7192517,-74.034234,44857,"Subscriber",1969,1
440,"2021-01-01 01:51:05.7760","2021-01-01 01:58:26.7680",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,44225,"Subscriber",1993,1
405,"2021-01-01 01:51:59.5790","2021-01-01 01:58:45.2740",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,42157,"Subscriber",1993,1
