"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
369,"2021-03-01 00:07:46.3700","2021-03-01 00:13:55.6430",3202,"Newport PATH",40.7272235,-74.0337589,3639,"Harborside",40.7192517,-74.034234,43798,"Customer",1970,0
102,"2021-03-01 00:13:25.3020","2021-03-01 00:15:07.7810",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,28583,"Customer",1970,0
2036,"2021-03-01 00:16:39.7080","2021-03-01 00:50:35.8980",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3280,"Astor Place",40.71928220070702,-74.07126188278198,46627,"Customer",1970,0
366,"2021-03-01 00:21:44.7390","2021-03-01 00:27:51.6070",3639,"Harborside",40.7192517,-74.034234,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,43798,"Customer",1970,0
718,"2021-03-01 00:22:28.1290","2021-03-01 00:34:26.3650",3483,"Montgomery St",40.71942,-74.05099,3638,"Washington St",40.7242941,-74.0354826,42277,"Subscriber",1958,1
3022,"2021-03-01 00:26:25.5960","2021-03-01 01:16:48.5160",3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,42527,"Customer",1970,0
2060,"2021-03-01 01:00:44.0900","2021-03-01 01:35:04.8430",3210,"Pershing Field",40.742677141,-74.051788633,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,42205,"Customer",1970,0
126,"2021-03-01 01:01:14.5740","2021-03-01 01:03:21.2750",3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,3639,"Harborside",40.7192517,-74.034234,43352,"Customer",1970,0
366,"2021-03-01 01:25:59.8280","2021-03-01 01:32:06.2500",3185,"City Hall",40.7177325,-74.043845,3192,"Liberty Light Rail",40.7112423,-74.0557013,38470,"Customer",1970,0
138,"2021-03-01 01:34:31.2940","2021-03-01 01:36:49.5830",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,44333,"Customer",1970,0
394,"2021-03-01 01:48:05.0310","2021-03-01 01:54:39.4680",3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,44731,"Customer",1970,0
869,"2021-03-01 02:04:40.1530","2021-03-01 02:19:10.1220",3210,"Pershing Field",40.742677141,-74.051788633,3198,"Heights Elevator",40.748715945380226,-74.04044330120087,33361,"Customer",1970,0
344,"2021-03-01 02:07:34.7070","2021-03-01 02:13:18.7560",3202,"Newport PATH",40.7272235,-74.0337589,3639,"Harborside",40.7192517,-74.034234,43997,"Subscriber",1984,1
136,"2021-03-01 02:34:37.8170","2021-03-01 02:36:54.0680",3202,"Newport PATH",40.7272235,-74.0337589,3199,"Newport Pkwy",40.7287448,-74.0321082,43928,"Subscriber",1984,1
510,"2021-03-01 02:37:51.9180","2021-03-01 02:46:22.8680",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3193,"Lincoln Park",40.7246050998869,-74.07840594649315,42575,"Subscriber",1996,1
276,"2021-03-01 02:39:18.1280","2021-03-01 02:43:54.3120",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,42157,"Customer",1970,0
447,"2021-03-01 02:52:54.1480","2021-03-01 03:00:22.0020",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3192,"Liberty Light Rail",40.7112423,-74.0557013,44664,"Customer",1970,0
447,"2021-03-01 03:10:13.4700","2021-03-01 03:17:41.3770",3187,"Warren St",40.7211236,-74.03805095,3483,"Montgomery St",40.71942,-74.05099,43467,"Subscriber",1958,1
142,"2021-03-01 03:15:32.4850","2021-03-01 03:17:55.1720",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3187,"Warren St",40.7211236,-74.03805095,42370,"Subscriber",1972,1
409,"2021-03-01 03:18:07.5980","2021-03-01 03:24:57.0510",3187,"Warren St",40.7211236,-74.03805095,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,38460,"Customer",1970,0
150,"2021-03-01 04:04:31.3220","2021-03-01 04:07:01.7720",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3213,"Van Vorst Park",40.71848892,-74.047726625,42432,"Subscriber",1977,1
